1: P: started
1498: O 252: arrived to 1
1499: O 1242: started
1500: O 1243: started
1501: O 254: started
1502: O 253: arrived to 0
1503: O 6286: started
1504: O 1246: started
1505: O 1247: started
1506: O 6295: started
1507: O 1244: arrived to 1
1508: O 1249: started
1509: O 1250: started
1510: O 1251: started
1511: O 255: arrived to 0
1512: O 1252: started
1513: O 1253: started
1514: O 257: started
1515: O 256: arrived to 0
1516: O 6317: started
1517: O 1256: started
1518: O 1257: started
1519: O 1254: arrived to 1
1520: O 1258: started
1521: O 1259: started
1522: O 6336: started
1523: O 1261: started
1524: O 258: arrived to 0
1525: O 1262: started
1526: O 1263: started
1527: O 6357: started
1528: O 6359: started
1529: O 1265: started
1530: O 1266: started
1531: O 6375: started
1532: O 6378: started
1533: O 1268: started
1534: O 1269: started
1535: O 261: arrived to 1
1536: O 6415: started
1537: O 1271: started
1538: O 6424: started
1539: O 6432: started
1540: O 1271: arrived to 0
1541: O 1274: started
1542: O 1275: started
1543: O 6453: started
1544: O 6457: started
1545: O 1277: started
1546: O 1278: started
1547: O 1279: started
1548: O 1276: arrived to 1
1549: O 1280: started
1550: O 1281: started
1551: O 1282: started
1552: O 1283: started
1553: O 265: arrived to 0
1554: O 1284: started
1555: O 6513: started
1556: O 6448: started
1557: O 6519: started
1558: O 1286: started
1559: O 1288: started
1560: O 1289: started
1561: O 267: arrived to 0
1562: O 1291: started
1563: O 1290: started
1564: O 1292: started
1565: O 269: started
1566: O 268: arrived to 0
1567: O 1294: started
1568: O 6560: started
1569: O 1296: started
1570: O 6567: started
1571: O 1297: started
1572: O 1298: started
1573: O 1299: started
1574: O 270: arrived to 0
1575: O 1300: started
1576: O 6552: started
1577: O 1302: started
1578: O 271: arrived to 1
1579: O 1303: started
1580: O 1304: started
1581: O 1304: arrived to 0
1582: O 6621: started
1583: O 6627: started
1584: O 1307: started
1585: O 1308: started
1586: O 1309: started
1587: O 6641: started
1588: O 1310: started
1589: O 1311: started
1590: O 275: started
1591: O 6655: started
1592: O 1313: started
1593: O 1314: started
1594: O 1315: started
1595: O 1312: arrived to 0
1596: O 1316: started
1597: O 1317: started
1598: O 1318: started
1599: O 1319: started
1600: O 276: arrived to 1
1601: O 1319: arrived to 0
1602: O 1321: started
1603: O 6700: started
1604: O 6648: started
1605: O 6705: started
1606: O 1324: started
1607: O 1325: started
1608: O 1322: arrived to 1
1609: O 1326: started
1610: O 1327: started
1611: O 1328: started
1612: O 279: arrived to 0
1613: O 1329: started
1614: O 6731: started
1615: O 1331: started
1616: O 6743: started
1617: O 6696: started
1618: O 1333: started
1619: O 1334: started
1620: O 282: started
1621: O 281: arrived to 0
1622: O 1336: started
1623: O 1337: started
1624: O 1335: arrived to 0
1625: O 1339: started
1626: O 1338: started
1627: O 6804: started
1628: O 1341: started
1629: O 284: started
1630: O 283: arrived to 1
1631: O 1343: started
1632: O 6823: started
1633: O 6828: started
1634: O 1342: arrived to 1
1635: O 6835: started
1636: O 1347: started
1637: O 1348: started
1638: O 1345: arrived to 0
1639: O 1350: started
1640: O 6858: started
1641: O 1351: started
1642: O 1352: started
1643: O 6867: started
1644: O 6872: started
1645: O 1354: started
1646: O 288: started
1647: O 287: arrived to 1
1648: O 1356: started
1649: O 6883: started
1650: O 6886: started
1651: O 1355: arrived to 0
1652: O 6886: arrived to 1
1653: O 1361: started
1654: O 1362: started
1655: O 290: started
1656: O 1363: started
1657: O 289: arrived to 0
1658: O 1364: started
1659: O 6908: started
1660: O 1366: started
1661: O 6918: started
1662: O 6922: started
1663: O 1368: started
1664: O 1369: started
1665: O 1370: started
1666: O 291: arrived to 1
1667: O 1371: started
1668: O 1372: started
1669: O 1373: started
1670: O 292: arrived to 0
1671: O 6972: started
1672: O 1375: started
1673: O 1376: started
1674: O 1377: started
1675: O 293: arrived to 0
1676: O 1378: started
1677: O 1379: started
1678: O 1380: started
1679: O 294: arrived to 0
1680: O 1381: started
1681: O 1382: started
1682: O 296: started
1683: O 295: arrived to 1
1684: O 1384: started
1685: O 1385: started
1686: O 1386: started
1687: O 1387: started
1688: O 1383: arrived to 1
1689: O 1388: started
1690: O 1389: started
1691: O 1390: started
1692: O 7067: started
1693: O 7067: arrived to 0
1694: O 1392: started
1695: O 299: started
1696: O 298: arrived to 1
1697: O 1394: started
1698: O 1395: started
1699: O 7089: started
1700: O 7089: arrived to 1
1701: O 1393: arrived to 1
1702: O 1398: started
1703: O 7101: started
1704: O 7101: arrived to 1
1705: O 300: arrived to 0
1706: O 1401: started
1707: O 1402: started
1708: O 302: started
1709: O 301: arrived to 1
1710: O 1404: started
1711: O 7135: started
1712: O 1406: started
1713: O 7146: started
1714: O 1407: started
1715: O 7154: started
1716: O 7157: started
1717: O 7159: started
1718: O 303: arrived to 0
1719: O 1411: started
1720: O 7176: started
1721: O 7170: started
1722: O 304: arrived to 0
1723: O 1414: started
1724: O 1415: started
1725: O 7192: started
1726: O 305: arrived to 1
1727: O 1417: started
1728: O 1418: started
1729: O 1419: started
1730: O 7222: started
1731: O 7233: started
1732: O 7244: started
1733: O 7247: started
1734: O 1423: started
1735: O 7254: started
1736: O 7258: started
1737: O 1425: started
1738: O 7267: started
1739: O 7269: started
1740: O 308: arrived to 1
1741: O 1428: started
1742: O 1429: started
1743: O 1430: started
1744: O 1431: started
1745: O 7280: started
1746: O 309: arrived to 1
1747: O 1433: started
1748: O 1434: started
1749: O 7287: started
1750: O 310: arrived to 0
1751: O 1436: started
1752: O 7293: started
1753: O 7297: started
1754: O 7300: started
1755: O 1439: started
1756: O 7307: started
1757: O 7320: started
1758: O 7313: started
1759: O 312: arrived to 1
1760: O 7319: started
1761: O 7340: started
1762: O 1445: started
1763: O 313: arrived to 1
1764: O 1446: started
1765: O 7390: started
1766: O 17: arrived to 0
1767: O 314: arrived to 0
1768: O 7399: started
1769: O 7408: started
1770: O 1451: started
1771: O 1452: started
1772: O 1448: arrived to 0
1773: O 1453: started
1774: O 1454: started
1775: O 315: arrived to 1
1776: O 7436: started
1777: O 7436: arrived to 1
1778: O 7443: started
1779: O 7450: started
1780: O 7454: started
1781: O 1460: started
1782: O 1459: started
1783: O 1461: started
1784: O 1462: started
1785: O 1463: started
1786: O 317: arrived to 0
1787: O 1464: started
1788: O 1465: started
1789: O 1466: started
1790: O 1467: started
1791: O 318: arrived to 1
1792: O 1468: started
1793: O 1469: started
1794: O 1470: started
1795: O 319: arrived to 1
1796: O 1472: started
1797: O 1471: started
1798: O 1473: started
1799: O 1474: started
1800: O 1475: started
1801: O 320: arrived to 0
1802: O 1476: started
1803: O 7522: started
1804: O 322: started
1805: O 321: arrived to 1
1806: O 1479: started
1807: O 1480: started
1808: O 1481: started
1809: O 7541: started
1810: O 7545: started
1811: O 1483: started
1812: O 1484: started
1813: O 1485: started
1814: O 1486: started
1815: O 1486: arrived to 1
1816: O 1487: started
1817: O 324: started
1818: O 1489: started
1819: O 1490: started
1820: O 7567: started
1821: O 7570: started
1822: O 1492: started
1823: O 1493: started
1824: O 1494: started
1825: O 1495: started
1826: O 1491: arrived to 0
1827: O 1496: started
1828: O 1497: started
1829: O 7597: started
1830: O 1499: started
1831: O 7611: started
1832: O 7625: started
1833: O 7633: started
1834: O 7637: started
1835: O 1502: started
1836: O 1503: started
1837: O 7647: started
1838: O 1505: started
1839: O 327: arrived to 1
1840: O 1506: started
1841: O 1507: started
1842: O 1509: started
1843: O 328: arrived to 0
1844: O 1510: started
1845: O 1511: started
1846: O 7699: started
1847: O 7703: started
1848: O 1514: started
1849: O 1515: started
1850: O 1516: started
1851: O 1508: started
1852: O 1517: started
1853: O 1518: started
1854: O 329: arrived to 0
1855: O 1519: started
1856: O 1520: started
1857: O 1521: started
1858: O 1522: started
1859: O 1523: started
1860: O 1523: arrived to 1
1861: O 1524: started
1862: O 1525: started
1863: O 1526: started
1864: O 1527: started
1865: O 1528: started
1866: O 331: arrived to 1
1867: O 1529: started
1868: O 7772: started
1869: O 1531: started
1870: O 1532: started
1871: O 7781: started
1872: O 7784: started
1873: O 1534: started
1874: O 7789: started
1875: O 1536: started
1876: O 7796: started
1877: O 7800: started
1878: O 1538: started
1879: O 334: arrived to 0
1880: O 7804: started
1881: O 1539: started
1882: O 1541: started
1883: O 1542: started
1884: O 7817: started
1885: O 1544: started
1886: O 1545: started
1887: O 7828: started
1888: O 1546: started
1889: O 1547: started
1890: O 1548: started
1891: O 7844: started
1892: O 7847: started
1893: O 7851: started
1894: O 7856: started
1895: O 7860: started
1896: O 7869: started
1897: O 7882: started
1898: O 338: arrived to 1
1899: O 7894: started
1900: O 1556: started
1901: O 339: started
1902: O 7908: started
1903: O 7912: started
1904: O 7917: started
1905: O 7921: started
1906: O 7925: started
1907: O 7928: started
1908: O 1561: started
1909: O 1563: started
1910: O 1564: started
1911: O 1565: started
1912: O 26: started
1913: O 7947: started
1914: O 1567: started
1915: O 1568: started
1916: O 1569: started
1917: O 1566: arrived to 1
1918: O 341: started
1919: O 1570: started
1920: O 8094: started
1921: O 8099: started
1922: O 8107: started
1923: O 8119: started
1924: O 8122: started
1925: O 1576: started
1926: O 8131: started
1927: O 1578: started
1928: O 342: started
1929: O 344: arrived to 1
1930: O 1580: started
1931: O 1581: started
1932: O 1582: started
1933: O 1583: started
1934: O 1579: arrived to 0
1935: O 8160: started
1936: O 1585: started
1937: O 8109: started
1938: O 1587: started
1939: O 1588: started
1940: O 346: arrived to 1
1941: O 1589: started
1942: O 1590: started
1943: O 1591: started
1944: O 1592: started
1945: O 347: arrived to 1
1946: O 1593: started
1947: O 1594: started
1948: O 1595: started
1949: O 1596: started
1950: O 1597: started
1951: O 8193: started
1952: O 1599: started
1953: O 1600: started
1954: O 349: arrived to 0
1955: O 1601: started
1956: O 1602: started
1957: O 8210: started
1958: O 8214: started
1959: O 8221: started
1960: O 1605: started
1961: O 1606: started
1962: O 1607: started
1963: O 8245: started
1964: O 1604: arrived to 1
1965: O 8252: started
1966: O 1610: started
1967: O 1611: started
1968: O 1612: started
1969: O 8272: started
1970: O 352: started
1971: O 8385: started
1972: O 1615: started
1973: O 28: arrived to 1
1974: O 1616: started
1975: O 1617: started
1976: O 1618: started
1977: O 8404: started
1978: O 1619: started
1979: O 1620: started
1980: O 1621: started
1981: O 354: arrived to 0
1982: O 1622: started
1983: O 8432: started
1984: O 8437: started
1985: O 355: arrived to 1
1986: O 8444: started
1987: O 357: started
1988: O 1627: started
1989: O 8461: started
1990: O 8465: started
1991: O 1630: started
1992: O 1626: arrived to 0
1993: O 8480: started
1994: O 8486: started
1995: O 8486: arrived to 0
1996: O 360: started
1997: O 1634: started
1998: O 1635: started
1999: O 8501: started
2000: O 8504: started
2001: O 8506: started
2002: O 1638: started
2003: O 1639: started
2004: O 1640: started
2005: O 356: arrived to 0
2006: O 8517: started
2007: O 1642: started
2008: O 1643: started
2009: O 8525: started
2010: O 8526: started
2011: O 8536: started
2012: O 1646: started
2013: O 353: arrived to 1
2014: O 8545: started
2015: O 1648: started
2016: O 1649: started
2017: O 362: arrived to 0
2018: O 1650: started
2019: O 1651: started
2020: O 1652: started
2021: O 1653: started
2022: O 361: arrived to 1
2023: O 8603: started
2024: O 1655: started
2025: O 1656: started
2026: O 363: arrived to 1
2027: O 1657: started
2028: O 1658: started
2029: O 1659: started
2030: O 364: arrived to 0
2031: O 8627: started
2032: O 8630: started
2033: O 8634: started
2034: O 1663: started
2035: O 365: arrived to 1
2036: O 1664: started
2037: O 1665: started
2038: O 1666: started
2039: O 8656: started
2040: O 31: arrived to 1
2041: O 1668: started
2042: O 8669: started
2043: O 8676: started
2044: O 8682: started
2045: O 367: arrived to 1
2046: O 1672: started
2047: O 1673: started
2048: O 1674: started
2049: O 368: arrived to 0
2050: O 1675: started
2051: O 1676: started
2052: O 1677: started
2053: O 1678: started
2054: O 369: arrived to 1
2055: O 1679: started
2056: O 8718: started
2057: O 8725: started
2058: O 1682: started
2059: O 370: arrived to 0
2060: O 1683: started
2061: O 1684: started
2062: O 366: arrived to 0
2063: O 371: arrived to 1
2064: O 8754: started
2065: O 1688: started
2066: O 1687: started
2067: O 8769: started
2068: O 8772: started
2069: O 8777: started
2070: O 8734: started
2071: O 8789: started
2072: O 1692: started
2073: O 1693: started
2074: O 1694: started
2075: O 8802: started
2076: O 8805: started
2077: O 8809: started
2078: O 1697: started
2079: O 1698: started
2080: O 8818: started
2081: O 8824: started
2082: O 8824: arrived to 1
2083: O 1701: started
2084: O 1702: started
2085: O 8837: started
2086: O 8840: started
2087: O 5: arrived to 1
2088: O 8849: started
2089: O 1704: started
2090: O 1707: started
2091: O 9017: started
2092: O 1708: started
2093: O 9026: started
2094: O 9031: started
2095: O 9036: started
2096: O 9041: started
2097: O 9046: started
2098: O 9052: started
2099: O 9057: started
2100: O 32: arrived to 1
2101: O 379: arrived to 0
2102: O 1716: started
2103: O 1717: started
2104: O 9074: started
2105: O 9081: started
2106: O 1720: started
2107: O 1721: started
2108: O 9137: started
2109: O 380: started
2110: O 1723: started
2111: O 1724: started
2112: O 9158: started
2113: O 9169: started
2114: O 9158: arrived to 1
2115: O 1728: started
2116: O 9180: started
2117: O 1730: started
2118: O 9189: started
2119: O 9194: started
2120: O 9198: started
2121: O 1733: started
2122: O 1732: started
2123: O 1734: started
2124: O 1735: started
2125: O 1736: started
2126: O 1737: started
2127: O 384: arrived to 1
2128: O 1738: started
2129: O 1739: started
2130: O 1740: started
2131: O 386: arrived to 1
2132: O 9261: started
2133: O 9265: started
2134: O 1743: started
2135: O 1744: started
2136: O 9276: started
2137: O 1746: started
2138: O 1745: started
2139: O 1747: started
2140: O 1748: started
2141: O 9294: started
2142: O 9297: started
2143: O 9297: arrived to 0
2144: O 9249: started
2145: O 9306: started
2146: O 1753: started
2147: O 381: arrived to 0
2148: O 1753: arrived to 0
2149: O 1755: started
2150: O 1757: started
2151: O 9325: started
2152: O 9325: arrived to 0
2153: O 1758: started
2154: O 1759: started
2155: O 1752: started
2156: O 9327: started
2157: O 9429: started
2158: O 9480: started
2159: O 1763: started
2160: O 1764: started
2161: O 9495: started
2162: O 9495: arrived to 0
2163: O 1766: started
2164: O 1767: started
2165: O 1768: started
2166: O 1769: started
2167: O 9511: started
2168: O 383: arrived to 1
2169: O 1771: started
2170: O 1772: started
2171: O 9524: started
2172: O 1774: started
2173: O 394: arrived to 0
2174: O 9534: started
2175: O 9539: started
2176: O 9543: started
2177: O 1778: started
2178: O 389: arrived to 1
2179: O 1779: started
2180: O 9557: started
2181: O 1782: started
2182: O 9566: started
2183: O 9570: started
2184: O 1784: started
2185: O 9580: started
2186: O 9583: started
2187: O 1786: started
2188: O 1787: started
2189: O 1788: started
2190: O 396: arrived to 0
2191: O 1789: started
2192: O 9611: started
2193: O 9616: started
2194: O 9621: started
2195: O 9635: started
2196: O 9658: started
2197: O 391: arrived to 0
2198: O 1795: started
2199: O 1796: started
2200: O 9674: started
2201: O 9644: started
2202: O 37: arrived to 0
2203: O 1799: started
2204: O 1800: started
2205: O 1801: started
2206: O 1802: started
2207: O 395: started
2208: O 376: arrived to 1
2209: O 1804: started
2210: O 1805: started
2211: O 9698: started
2212: O 9698: arrived to 1
2213: O 9707: started
2214: O 9711: started
2215: O 9714: started
2216: O 385: arrived to 0
2217: O 9719: started
2218: O 1811: started
2219: O 1812: started
2220: O 399: arrived to 0
2221: O 1813: started
2222: O 1814: started
2223: O 9745: started
2224: O 1816: started
2225: O 9753: started
2226: O 9758: started
2227: O 9760: started
2228: O 1819: started
2229: O 400: arrived to 1
2230: O 1820: started
2231: O 1821: started
2232: O 1822: started
2233: O 9768: started
2234: O 1823: started
2235: O 1824: started
2236: O 1825: started
2237: O 402: arrived to 0
2238: O 9765: started
2239: O 1827: started
2240: O 1828: started
2241: O 1829: started
2242: O 1830: started
2243: O 403: arrived to 1
2244: O 1831: started
2245: O 9827: started
2246: O 9830: started
2247: O 404: arrived to 1
2248: O 1834: started
2249: O 9837: started
2250: O 1836: started
2251: O 1837: started
2252: O 405: arrived to 1
2253: O 1838: started
2254: O 1839: started
2255: O 1840: started
2256: O 406: arrived to 1
2257: O 1841: started
2258: O 1842: started
2259: O 38: arrived to 1
2260: O 407: arrived to 1
2261: O 1844: started
2262: O 1845: started
2263: O 1846: started
2264: O 1847: started
2265: O 9902: started
2266: O 9906: started
2267: O 9906: arrived to 0
2268: O 9875: started
2269: O 1850: started
2270: O 9916: started
2271: O 9919: started
2272: O 9929: started
2273: O 9921: started
2274: O 1854: started
2275: O 1855: started
2276: O 9954: started
2277: O 410: arrived to 0
2278: O 1857: started
2279: O 1858: started
2280: O 1859: started
2281: O 9975: started
2282: O 1860: started
2283: O 9986: started
2284: O 9991: started
2285: O 1863: started
2286: N 9: started
2287: N 14: started
2288: N 14: arrived to 0
2289: N 19: started
2290: N 25: started
2291: N 31: started
2292: O 1867: started
2293: N 40: started
2294: N 45: started
2295: N 49: started
2296: N 56: started
2297: O 415: arrived to 1
2298: O 1873: started
2299: O 1874: started
2300: O 416: arrived to 1
2301: O 1875: started
2302: O 1876: started
2303: O 1877: started
2304: N 76: started
2305: N 77: started
2306: N 85: started
2307: N 90: started
2308: N 95: started
2309: O 414: arrived to 1
2310: O 1883: started
2311: N 106: started
2312: O 1884: started
2313: N 114: started
2314: N 137: started
2315: N 107: started
2316: N 118: started
2317: O 1888: started
2318: O 1889: started
2319: O 419: arrived to 1
2320: O 1890: started
2321: O 1891: started
2322: O 1892: started
2323: O 420: arrived to 0
2324: O 1893: started
2325: O 1894: started
2326: O 1895: started
2327: O 421: arrived to 0
2328: O 1896: started
2329: O 1897: started
2330: O 1898: started
2331: O 1899: started
2332: N 202: started
2333: N 202: arrived to 1
2334: O 423: started
2335: O 1902: started
2336: O 1903: started
2337: N 215: started
2338: O 1905: started
2339: N 221: started
2340: N 223: started
2341: O 1907: started
2342: O 1908: started
2343: N 233: started
2344: N 236: started
2345: N 236: arrived to 0
2346: N 239: started
2347: N 239: arrived to 0
2348: O 1913: started
2349: O 425: arrived to 1
2350: O 1914: started
2351: O 1915: started
2352: N 301: started
2353: N 261: started
2354: N 261: arrived to 1
2355: N 339: started
2356: N 331: started
2357: N 319: started
2358: N 337: started
2359: O 427: arrived to 1
2360: N 337: arrived to 0
2361: O 1923: started
2362: N 374: started
2363: N 355: started
2364: O 1926: started
2365: O 428: arrived to 0
2366: O 1927: started
2367: N 379: started
2368: N 388: started
2369: O 429: arrived to 0
2370: O 1930: started
2371: O 1931: started
2372: O 1932: started
2373: O 1933: started
2374: N 418: started
2375: N 425: started
2376: O 1935: started
2377: N 425: arrived to 1
2378: O 1937: started
2379: O 1938: started
2380: O 431: arrived to 0
2381: O 1939: started
2382: O 1940: started
2383: O 432: arrived to 0
2384: O 1941: started
2385: O 1942: started
2386: O 1943: started
2387: N 450: started
2388: O 1945: started
2389: O 433: arrived to 1
2390: O 1946: started
2391: O 1947: started
2392: N 482: started
2393: O 1949: started
2394: O 1950: started
2395: O 434: arrived to 1
2396: O 1951: started
2397: N 515: started
2398: N 478: started
2399: N 522: started
2400: N 539: started
2401: N 542: started
2402: O 1957: started
2403: N 548: started
2404: N 552: started
2405: O 1959: started
2406: O 1960: started
2407: O 436: arrived to 1
2408: O 1961: started
2409: O 1962: started
2410: O 1963: started
2411: O 1964: started
2412: O 437: arrived to 1
2413: O 1965: started
2414: N 525: started
2415: N 587: started
2416: N 587: arrived to 0
2417: O 438: arrived to 0
2418: O 439: started
2419: N 597: started
2420: N 603: started
2421: O 1972: started
2422: O 1973: started
2423: O 1969: arrived to 1
2424: O 1974: started
2425: N 627: started
2426: O 1976: started
2427: N 639: started
2428: N 641: started
2429: N 585: started
2430: O 1979: started
2431: N 783: started
2432: O 1981: started
2433: O 441: arrived to 1
2434: O 1982: started
2435: O 1983: started
2436: O 1984: started
2437: N 805: started
2438: O 442: arrived to 0
2439: O 47: started
2440: O 1987: started
2441: O 1988: started
2442: O 1989: started
2443: O 1990: started
2444: O 1986: arrived to 0
2445: O 1991: started
2446: O 1992: started
2447: O 444: arrived to 0
2448: O 1993: started
2449: N 855: started
2450: N 859: started
2451: N 863: started
2452: O 445: arrived to 0
2453: O 1996: started
2454: O 1998: started
2455: O 1999: started
2456: N 870: started
2457: O 2001: started
2458: N 878: started
2459: O 2002: started
2460: O 2003: started
2461: O 447: arrived to 0
2462: O 2004: started
2463: O 2005: started
2464: O 2006: started
2465: O 2007: started
2466: O 2008: started
2467: O 448: arrived to 1
2468: N 946: started
2469: N 950: started
2470: O 443: arrived to 0
2471: O 449: arrived to 1
2472: N 957: started
2473: N 931: started
2474: N 1035: started
2475: N 931: arrived to 0
2476: N 1041: started
2477: N 1048: started
2478: O 2017: started
2479: O 2019: started
2480: O 450: arrived to 0
2481: N 1079: started
2482: N 1083: started
2483: O 2021: started
2484: O 2022: started
2485: O 2023: started
2486: O 2018: started
2487: O 2024: started
2488: O 2025: started
2489: O 452: arrived to 1
2490: O 2026: started
2491: O 2027: started
2492: O 453: arrived to 1
2493: N 1137: started
2494: N 1109: started
2495: O 2030: started
2496: N 1115: started
2497: O 2032: started
2498: N 1143: started
2499: N 1145: started
2500: N 1145: arrived to 1
2501: N 1100: started
2502: N 1152: started
2503: N 1154: started
2504: N 1157: started
2505: N 1161: started
2506: N 1169: started
2507: N 1171: started
2508: N 1180: started
2509: O 2041: started
2510: O 2042: started
2511: O 458: started
2512: N 1194: started
2513: O 2044: started
2514: O 2045: started
2515: O 2046: started
2516: O 2043: arrived to 1
2517: O 2047: started
2518: O 2048: started
2519: O 2049: started
2520: N 1240: started
2521: N 1214: started
2522: O 2051: started
2523: O 2052: started
2524: O 50: arrived to 0
2525: O 460: arrived to 0
2526: O 2054: started
2527: O 2055: started
2528: N 1311: started
2529: N 1311: arrived to 1
2530: O 2057: started
2531: O 2058: started
2532: O 2059: started
2533: O 2060: started
2534: O 461: arrived to 0
2535: N 1328: started
2536: O 16: boarding
2537: O 2062: started
2538: O 2063: started
2539: O 2064: started
2540: O 462: arrived to 0
2541: O 2065: started
2542: O 2066: started
2543: O 2067: started
2544: O 2068: started
2545: N 1361: started
2546: N 1364: started
2547: N 1368: started
2548: N 1368: arrived to 1
2549: O 464: arrived to 1
2550: O 2072: started
2551: O 2073: started
2552: O 2074: started
2553: O 2075: started
2554: N 1410: started
2555: N 1415: started
2556: N 1418: started
2557: N 1395: started
2558: N 1424: started
2559: N 1425: started
2560: N 1425: arrived to 1
2561: N 1433: started
2562: O 2081: started
2563: O 466: arrived to 1
2564: O 2083: started
2565: O 2084: started
2566: O 2085: started
2567: O 468: arrived to 1
2568: O 2086: started
2569: O 2087: started
2570: O 469: started
2571: O 2089: started
2572: O 2090: started
2573: N 1575: started
2574: O 2092: started
2575: O 2088: arrived to 1
2576: O 2093: started
2577: O 2094: started
2578: N 1588: started
2579: N 1592: started
2580: O 470: started
2581: N 1544: started
2582: N 1609: started
2583: N 1586: started
2584: O 2100: started
2585: N 1620: started
2586: O 2101: started
2587: N 1627: started
2588: O 2103: started
2589: N 1636: started
2590: O 2105: started
2591: N 1645: started
2592: N 1645: arrived to 1
2593: O 2107: started
2594: N 1677: started
2595: N 1683: started
2596: O 2109: started
2597: O 2110: started
2598: O 2111: started
2599: O 55: arrived to 0
2600: O 475: started
2601: N 1714: started
2602: O 2114: started
2603: O 2115: started
2604: O 2116: started
2605: O 2117: started
2606: O 2112: arrived to 0
2607: O 2118: started
2608: O 2119: started
2609: N 1740: started
2610: N 1744: started
2611: N 1747: started
2612: N 1751: started
2613: O 2123: started
2614: O 477: arrived to 0
2615: O 2124: started
2616: N 1765: started
2617: O 2126: started
2618: O 2127: started
2619: O 478: arrived to 1
2620: O 2128: started
2621: O 2129: started
2622: O 481: started
2623: N 1798: started
2624: O 2131: started
2625: N 1803: started
2626: O 2133: started
2627: N 1812: started
2628: O 2134: started
2629: O 2135: started
2630: O 2136: started
2631: O 2137: started
2632: N 1832: started
2633: O 482: arrived to 1
2634: O 2139: started
2635: O 2140: started
2636: O 483: started
2637: O 2138: arrived to 0
2638: O 2142: started
2639: O 2143: started
2640: O 2144: started
2641: O 2145: started
2642: O 2141: arrived to 0
2643: O 2146: started
2644: O 2147: started
2645: O 2148: started
2646: O 2149: started
2647: O 484: arrived to 0
2648: O 2150: started
2649: N 1911: started
2650: N 1914: started
2651: O 480: arrived to 0
2652: O 485: arrived to 1
2653: O 2154: started
2654: O 2155: started
2655: O 2156: started
2656: N 1926: started
2657: N 1926: arrived to 0
2658: O 2158: started
2659: O 2159: started
2660: O 2160: started
2661: N 1949: started
2662: N 1954: started
2663: N 1955: started
2664: O 2163: started
2665: N 1972: started
2666: O 2165: started
2667: O 2165: arrived to 0
2668: N 1982: started
2669: N 1987: started
2670: O 57: arrived to 1
2671: N 1993: started
2672: O 2170: started
2673: O 2171: started
2674: N 2005: started
2675: N 2010: started
2676: O 2174: started
2677: O 2175: started
2678: N 2048: started
2679: N 2054: started
2680: O 2167: started
2681: O 2178: started
2682: O 488: arrived to 1
2683: O 2179: started
2684: O 2180: started
2685: O 2181: started
2686: O 2182: started
2687: N 2181: started
2688: N 2179: started
2689: O 2184: started
2690: N 2193: started
2691: O 59: arrived to 0
2692: O 491: started
2693: O 2187: started
2694: O 2188: started
2695: O 2188: arrived to 1
2696: O 492: started
2697: O 2191: started
2698: O 2192: started
2699: O 2193: started
2700: N 2206: started
2701: O 2195: started
2702: O 2190: arrived to 0
2703: O 2196: started
2704: O 2197: started
2705: O 2198: started
2706: O 2199: started
2707: O 2201: started
2708: O 2203: started
2709: O 2200: started
2710: O 2205: started
2711: O 2204: started
2712: O 493: arrived to 1
2713: O 2202: started
2714: O 2206: started
2715: O 2207: started
2716: O 2208: started
2717: O 2209: started
2718: O 2210: started
2719: O 490: arrived to 0
2720: O 2212: started
2721: O 494: arrived to 1
2722: O 2212: arrived to 1
2723: O 2214: started
2724: O 2214: arrived to 0
2725: O 2216: started
2726: O 2218: started
2727: O 2216: arrived to 1
2728: O 2219: started
2729: O 2220: started
2730: O 2221: started
2731: O 2222: started
2732: O 2223: started
2733: O 2224: started
2734: O 2225: started
2735: O 2226: started
2736: O 2186: arrived to 1
2737: O 2227: started
2738: O 2228: started
2739: O 2229: started
2740: O 2230: started
2741: O 495: arrived to 0
2742: O 2217: started
2743: O 2231: started
2744: O 2232: started
2745: O 2233: started
2746: N 2271: started
2747: O 2236: started
2748: O 2237: started
2749: O 496: arrived to 1
2750: O 2237: arrived to 0
2751: O 2238: started
2752: O 2239: started
2753: O 498: started
2754: O 2241: started
2755: O 497: arrived to 0
2756: O 2242: started
2757: O 2243: started
2758: O 2244: started
2759: O 2245: started
2760: O 2246: started
2761: O 2247: started
2762: O 2240: arrived to 1
2763: O 2248: started
2764: O 2249: started
2765: O 2250: started
2766: O 60: arrived to 1
2767: O 2252: started
2768: O 499: arrived to 1
2769: O 2253: started
2770: N 2379: started
2771: N 2379: arrived to 0
2772: O 2256: started
2773: O 2251: arrived to 1
2774: O 2257: started
2775: O 2258: started
2776: N 2423: started
2777: O 2259: started
2778: O 2260: started
2779: N 2532: started
2780: O 2262: started
2781: N 2632: started
2782: N 2622: started
2783: N 2681: started
2784: N 2690: started
2785: O 2266: started
2786: O 2267: started
2787: O 62: arrived to 0
2788: O 2268: started
