1: P: started
382: O 355: started
383: O 345: arrived to 1
384: O 1626: started
385: O 30: started
386: O 1633: started
387: O 356: started
388: O 359: started
389: O 353: started
390: O 362: started
391: O 29: arrived to 0
392: O 361: started
393: O 363: started
394: O 364: started
395: O 365: started
396: O 31: started
397: O 358: arrived to 1
398: O 367: started
399: O 368: started
400: O 369: started
401: O 370: started
402: O 371: started
403: O 1685: started
404: O 372: started
405: O 373: started
406: O 374: started
407: O 5: started
408: O 1703: started
409: O 378: started
410: O 379: started
411: O 1715: started
412: O 375: arrived to 1
413: O 1722: started
414: O 382: started
415: O 384: started
416: O 386: started
417: O 387: started
418: O 388: started
419: O 381: started
420: O 390: started
421: O 392: started
422: O 393: started
423: O 383: started
424: O 394: started
425: O 389: started
426: O 36: started
427: O 396: started
428: O 35: arrived to 0
429: O 391: started
430: O 37: started
431: O 376: started
432: O 1803: started
433: O 385: started
434: O 399: started
435: O 398: started
436: O 400: started
437: O 401: started
438: O 402: started
439: O 397: arrived to 0
440: O 403: started
441: O 404: started
442: O 405: started
443: O 406: started
444: O 407: started
445: O 1843: started
446: O 408: started
447: O 409: started
448: O 410: started
449: O 1856: started
450: O 6: arrived to 1
451: O 412: started
452: O 413: started
453: O 33: arrived to 0
454: O 415: started
455: O 416: started
456: O 40: arrived to 1
457: O 417: started
458: O 418: started
459: O 1882: started
460: O 419: started
461: O 420: started
462: O 421: started
463: O 422: started
464: O 41: arrived to 1
465: O 1901: started
466: O 424: started
467: O 425: started
468: O 43: started
469: O 42: arrived to 0
470: O 427: started
471: O 428: started
472: O 429: started
473: O 430: started
474: O 426: arrived to 0
475: O 431: started
476: O 432: started
477: O 433: started
478: O 434: started
479: O 44: arrived to 1
480: O 435: started
481: O 436: started
482: O 437: started
483: O 438: started
484: O 45: arrived to 0
485: O 1969: started
486: O 440: started
487: O 441: started
488: O 442: started
489: O 46: arrived to 0
490: O 1986: started
491: O 444: started
492: O 445: started
493: O 446: started
494: O 447: started
495: O 448: started
496: O 449: started
497: O 2011: started
498: O 450: started
499: O 451: started
500: O 452: started
501: O 453: started
502: O 48: arrived to 1
503: O 454: started
504: O 49: arrived to 1
505: O 2033: started
506: O 456: started
507: O 457: started
508: O 2043: started
509: O 459: started
510: O 460: started
511: O 2053: started
512: O 461: started
513: P: arrived to 1
514: O 462: started
515: O 463: started
516: O 464: started
517: O 9: arrived to 0
518: O 465: started
519: O 466: started
520: O 467: started
521: O 468: started
522: O 52: arrived to 1
523: O 2088: started
524: O 53: arrived to 0
525: O 471: started
526: O 2097: started
527: O 472: started
528: O 473: started
529: O 55: started
530: O 54: arrived to 1
531: O 2112: started
532: O 476: started
533: O 477: started
534: O 478: started
535: O 479: started
536: O 2130: started
537: O 474: arrived to 0
538: O 482: started
539: O 2138: started
540: O 2141: started
541: O 56: arrived to 1
542: O 484: started
543: O 485: started
544: O 2153: started
545: O 486: started
546: O 487: started
547: O 2169: started
548: O 488: started
549: O 489: started
550: O 59: started
551: O 58: arrived to 1
552: O 2186: started
553: O 2190: started
554: O 493: started
555: O 494: started
556: O 2211: started
557: O 495: started
558: O 496: started
559: O 497: started
560: O 2240: started
561: O 499: started
562: O 2251: started
563: O 2255: started
564: O 501: started
565: O 62: started
566: O 61: arrived to 0
567: O 503: started
568: O 2272: started
569: O 505: started
570: O 2280: started
571: O 507: started
572: O 509: started
573: O 502: arrived to 1
574: O 2292: started
575: O 510: started
576: O 511: started
577: O 64: started
578: O 513: started
579: O 63: arrived to 1
580: O 2315: started
581: O 512: arrived to 1
582: O 65: started
